,country_name,assistCross,assistCorner,assistThroughball,assistFreekick,assistOther,assist,passTotal,passLongBallAccurate,passLongBallInaccurate,shortPassAccurate,shortPassInaccurate,keyPassesTotal,keyPassLong,keyPassShort
0,Argentina,0.3,0.0,0.3,0.0,0.8,1.3,583.8,22.0,25.5,474.3,62.0,9.5,0.8,8.8
1,Australia,0.0,0.0,0.0,0.0,0.0,0.0,479.0,25.7,28.7,375.3,49.3,8.0,1.7,6.3
2,Belgium,0.4,0.0,0.4,0.0,0.9,1.7,515.7,24.7,21.9,420.3,48.9,12.3,1.7,10.6
3,Brazil,0.2,0.2,0.4,0.0,0.6,1.2,556.6,23.2,12.0,466.2,55.2,16.2,3.2,13.0
4,Colombia,0.5,0.5,0.5,0.0,0.3,1.3,427.5,27.5,31.5,314.8,53.8,6.5,1.5,5.0
5,Costa Rica,0.3,0.3,0.0,0.0,0.0,0.3,356.7,29.7,34.7,245.3,47.0,6.3,1.3,5.0
6,Croatia,0.1,0.0,0.0,0.0,0.7,0.9,490.7,31.1,29.6,368.3,61.7,9.6,2.1,7.4
7,Denmark,0.0,0.0,0.0,0.0,0.8,0.8,382.3,23.8,33.8,280.0,44.8,5.3,1.3,4.0
8,Egypt,0.0,0.0,0.0,0.0,0.3,0.3,407.7,24.3,35.7,290.3,57.3,6.3,1.7,4.7
9,England,0.3,0.3,0.0,0.0,0.6,0.9,506.4,34.0,27.3,399.6,45.6,9.3,2.7,6.6
10,France,0.4,0.1,0.1,0.1,0.3,0.9,436.9,34.1,25.7,322.0,55.0,8.3,0.9,7.4
11,Germany,0.0,0.0,0.0,0.0,0.7,0.7,656.7,42.7,15.0,538.3,60.7,19.0,2.3,16.7
12,Iceland,0.0,0.0,0.0,0.0,0.0,0.0,275.3,24.3,35.3,166.7,49.0,7.3,1.3,6.0
13,Iran,0.0,0.0,0.0,0.0,0.0,0.0,215.7,21.7,39.0,113.3,41.7,3.3,1.0,2.3
14,Japan,0.3,0.3,0.3,0.0,0.8,1.3,512.3,27.8,30.0,402.3,52.3,8.3,1.0,7.3
15,Mexico,0.0,0.0,0.0,0.0,0.5,0.5,415.0,32.0,25.5,314.8,42.8,11.5,1.8,9.8
16,Morocco,0.3,0.3,0.0,0.0,0.0,0.3,391.0,24.0,33.0,282.7,51.3,8.3,2.0,6.3
17,Nigeria,0.3,0.0,0.0,0.0,0.3,0.7,390.3,23.3,40.7,273.7,52.7,9.3,1.0,8.3
18,Panama,0.3,0.0,0.0,0.3,0.0,0.3,341.7,26.7,24.0,252.3,38.7,5.7,0.3,5.3
19,Peru,0.0,0.0,0.0,0.0,0.3,0.3,446.7,32.3,33.0,329.7,51.7,9.0,1.0,8.0
20,Poland,0.0,0.0,0.0,0.7,0.0,0.7,481.7,36.3,26.7,354.3,64.3,7.3,3.0,4.3
21,Portugal,0.5,0.0,0.0,0.0,0.5,1.0,480.0,39.0,27.3,358.5,55.3,9.8,1.0,8.8
22,Russia,0.4,0.0,0.0,0.2,0.8,1.4,330.6,24.4,33.6,213.4,59.2,6.4,1.0,5.4
23,Saudi Arabia,0.0,0.0,0.0,0.0,0.3,0.3,585.7,39.3,31.3,465.3,49.7,8.7,1.7,7.0
24,Senegal,0.0,0.0,0.0,0.0,0.3,0.3,333.7,25.0,39.3,228.0,41.3,7.0,2.0,5.0
25,Serbia,0.3,0.0,0.0,0.0,0.0,0.3,389.7,30.0,26.0,274.0,59.7,9.3,3.0,6.3
26,South Korea,0.0,0.0,0.0,0.0,0.7,0.7,317.0,23.0,33.7,221.7,38.7,8.3,1.7,6.7
27,Spain,0.3,0.0,0.0,0.0,0.5,0.8,782.8,33.8,16.5,679.0,53.5,11.0,2.5,8.5
28,Sweden,0.0,0.0,0.2,0.0,0.4,0.6,310.8,22.6,34.6,201.0,52.6,8.2,2.0,6.2
29,Switzerland,0.5,0.3,0.0,0.0,0.5,1.0,527.8,28.8,27.8,419.0,52.3,9.3,1.5,7.8
30,Tunisia,0.3,0.0,0.0,0.3,1.0,1.3,474.7,31.0,30.7,359.3,53.7,9.7,2.0,7.7
31,Uruguay,0.6,0.2,0.0,0.2,0.2,0.8,433.0,29.6,28.4,315.2,59.8,8.0,1.8,6.2
