,country,confederation,squad_size,avg_age,market_value_in_euros,market_value_digits,avg_market_value_of_players_in_mill_euros
0,Argentina,CONMEBOL,36,25.9, 747.50 million,747,20.75
1,Australia,AFC,23,25.6,32.85 million ,32,1.39
2,Belgium,UEFA,23,27.8, 419.00 million,419,18.22
3,Brazil,CONMEBOL,23,26.5, 870.50 million,870,37.83
4,Colombia,CONMEBOL,26,28.5, 282.95 million,282,10.85
5,Costa Rica,CONCACAF,23,26.4,24.25 million ,24,1.04
6,Croatia,UEFA,26,27.1, 317.00 million,317,12.19
7,Denmark,UEFA,30,26.5, 289.30 million,289,9.63
8,England,UEFA,25,25.4, 1.23 billion,1000,40.0
9,France,UEFA,24,27.3, 978.80 million,978,40.75
10,Germany,UEFA,21,27.5, 572.00 million,572,27.24
11,Iran,AFC,27,27.4,61.13 million ,61,2.26
12,Iceland,UEFA,23,28.7,23.25 million ,23,1.0
13,Japan,AFC,28,27.7, 118.10 million,118,4.21
14,Mexico,CONCACAF,23,28.7, 214.00 million,214,9.3
15,Morocco,CAF,25,26.5, 217.70 million,217,8.68
16,Nigeria,CAF,24,26.8, 277.55 million,277,11.54
17,Peru,CONMEBOL,27,29.4, 67.30 million,67,2.48
18,Poland,UEFA,26,27.3, 292.80 million,292,11.23
19,Portugal,UEFA,23,27.3, 775.00 million,775,33.7
20,Russia,UEFA,25,27.3, 153.25 million,153,6.12
21,Saudi Arabia,AFC,23,25.2,26.25 million ,26,1.13
22,Senegal,CAF,26,27.3, 348.80 million,348,13.38
23,Serbia,UEFA,28,26.7, 344.00 million,344,12.29
24,South Korea,AFC,25,27.2, 127.95 million,127,5.08
25,Spain,UEFA,25,27.3, 728.00 million,728,29.12
26,Sweden,UEFA,26,28.2, 203.40 million,203,7.81
27,Switzerland,UEFA,22,26.8, 189.20 million,189,8.59
28,Tunisia,CAF,33,26.2,39.18 million ,39,1.18
29,Uruguay,CONMEBOL,27,27.4, 263.20 million,263,9.74
30,Egypt,CAF,27,30.3,19.70 million ,19,0.7
31,Panama,CONCACAF,23,28.4,10.17 million,10,0.43
