,country_name,Final_positional_ranking,Ranking_after_analysis,goal,possession_percentage,stat-value,passLongBallInaccurate,shortPassAccurate,keyPassShort
10,France,1,3,14,49.6,6.93,25.7,322.0,7.4
6,Croatia,2,2,14,55.4,6.8,29.6,368.3,7.4
2,Belgium,3,1,16,52.1,7.06,21.9,420.3,10.6
9,England,4,4,12,53.5,6.82,27.3,399.6,6.6
3,Brazil,5,6,8,56.8,7.06,12.0,466.2,13.0
31,Uruguay,6,8,7,47.7,6.83,28.4,315.2,6.2
22,Russia,7,5,11,39.5,6.75,33.6,213.4,5.4
28,Sweden,8,13,6,41.3,6.8,34.6,201.0,6.2
15,Mexico,9,17,3,52.3,6.72,25.5,314.8,9.8
4,Colombia,10,12,6,50.2,6.76,31.5,314.8,5.0
29,Switzerland,11,14,5,56.3,6.64,27.8,419.0,7.8
27,Spain,12,7,7,69.2,6.71,16.5,679.0,8.5
7,Denmark,13,19,3,44.8,6.73,33.8,280.0,4.0
21,Portugal,14,10,6,52.9,6.7,27.3,358.5,8.8
14,Japan,15,11,6,52.2,6.67,30.0,402.3,7.3
0,Argentina,16,9,6,61.1,6.57,25.5,474.3,8.8
24,Senegal,17,16,4,43.7,6.56,39.3,228.0,5.0
25,Serbia,18,28,2,44.2,6.7,26.0,274.0,6.3
13,Iran,19,32,2,33.6,6.64,39.0,113.3,2.3
26,South Korea,20,20,3,40.6,6.76,33.7,221.7,6.7
19,Peru,21,25,2,49.9,6.67,33.0,329.7,8.0
17,Nigeria,22,18,3,47.9,6.75,40.7,273.7,8.3
11,Germany,23,21,2,65.3,6.66,15.0,538.3,16.7
16,Morocco,24,26,2,48.9,6.52,33.0,282.7,6.3
1,Australia,25,23,2,50.9,6.47,28.7,375.3,6.3
20,Poland,26,24,2,50.4,6.53,26.7,354.3,4.3
12,Iceland,27,31,2,37.0,6.51,35.3,166.7,6.0
30,Tunisia,28,15,5,51.3,6.56,30.7,359.3,7.7
23,Saudi Arabia,29,22,2,57.0,6.36,31.3,465.3,7.0
5,Costa Rica,30,29,2,41.6,6.52,34.7,245.3,5.0
8,Egypt,31,27,2,44.4,6.47,35.7,290.3,4.7
18,Panama,32,30,2,39.9,6.12,24.0,252.3,5.3
